,,,,,,
David Beckham,,,,,,
Nicolo Barella,,,,,,
Gabriel,,,,,,
Alejandro Grimaldi,,,,,,
Serhou Guirassy,,,,,,
Lois Openda,,,,,,
Kyle Walker,,,,,,
Frenkie de Jong,,,,,,
Alexander Isak,,,,,,
Alexis Mac Allister,,,,,,
David Alaba,,,,,,
Bruno Fernandes,,,,,,
Trent Alexander-Arnold,,,,,,
Rodrygo,,,,,,
Bruno Guimaraes,,,,,,
Cole Palmer,,,,,,
Robert Lewandowski,,,,,,
Son Heung-min,,,,,,
Federico Valverde,,,,,,
Victor Osimhen,,,,,,
Jamal Musiala,,,,,,
Erling Haaland,,,,,,
Lionel Messi,,,,,,
Diego Maradona,,,,,,
Gavi,,,,,,
Ronaldo,,,,,,
Didier Drogba,,,,,,
George Weah,,,,,,
Michel Platini,,,,,,
Eric Cantona,,,,,,
Justin Fashanu,,,,,,
Jose Manuel Moreno,,,,,,
Rivaldo,,,,,,
Chippa Mooi,,,,,,
Lucas Masterpieces Moripe,,,,,,
Josh Acheampong,,,,,,
Marco van Basten,,,,,,
Tayo Adaramola,,,,,,
Simon Adingra,,,,,,
Aït-NouriRayan Aït-Nouri,,,,,,
Carlos Alcaraz,,,,,,
George Best,,,,,,
Alfredo Di Stefano,,,,,,
Franz Beckenbauer,,,,,,
Roberto Baggio,,,,,,
Zinedine Zidane,,,,,,
Johan Cruyff,,,,,,
Pele,,,,,,
Jairzinho,,,,,,
Paolo Rossi,,,,,,
Kylian Mbappé,,,,,,
Kaka,,,,,,
Yamal Lamine,,,,,,
Xavi Hernandez,,,,,,
Luis Suarez,,,,,,
Andres Iniesta,,,,,,
Rivelino,,,,,,
Ruud Gullit,,,,,,
Ronaldinho,,,,,,
Romario,,,,,,
Eusebio,,,,,,
Michel Platini,,,,,,
